iter	Logloss
0	0.6410259559
1	0.5936324783
2	0.5531428231
3	0.5197660783
4	0.4888150679
5	0.4605506392
6	0.4372625819
7	0.4155906224
8	0.3971645068
9	0.3813448641
10	0.3666868915
11	0.3538526313
12	0.3427963092
13	0.3329272558
14	0.324634196
15	0.3170798203
16	0.310748784
17	0.3044807314
18	0.2996129797
19	0.295226405
20	0.291274383
21	0.2873633169
22	0.2837632641
23	0.2806898282
24	0.2778764718
25	0.2755164682
26	0.2734486626
27	0.2713692323
28	0.2694390029
29	0.2680098839
30	0.2664999009
31	0.2650262481
32	0.2636886262
33	0.2626198139
34	0.2617724773
35	0.2609458152
36	0.2601440046
37	0.2594337876
38	0.2585919786
39	0.2579115817
40	0.257224307
41	0.2566187362
42	0.2561466254
43	0.25559846
44	0.2552128031
45	0.2547733958
46	0.2543564851
47	0.2539463831
48	0.253664655
49	0.2533763105
50	0.2530793132
51	0.2527568469
52	0.252481247
53	0.2522416683
54	0.2519256293
55	0.2517273488
56	0.2515022165
57	0.2512948215
58	0.251124117
59	0.2509101405
60	0.2507315432
61	0.2505527236
62	0.2503624123
63	0.2501747978
64	0.2500267066
65	0.2498668956
66	0.2496833443
67	0.2495288723
68	0.2493741647
69	0.2492339345
70	0.249130126
71	0.2489990025
72	0.2488958806
73	0.2487809489
74	0.2486613251
75	0.2485312434
76	0.2484203329
77	0.2482952576
78	0.2481873808
79	0.2480736062
80	0.2479157097
81	0.2478252618
82	0.2477114222
83	0.2476012274
84	0.2474979382
85	0.2474018185
86	0.2473097689
87	0.2472114765
88	0.2471343907
89	0.2470377511
90	0.2469562446
91	0.2468672283
92	0.2467997105
93	0.2467129743
94	0.2466317814
95	0.2465550438
96	0.2464649373
97	0.2463847122
98	0.2463196501
99	0.246248097
