iter	Passed	Remaining
0	44	4430
1	79	3892
2	110	3588
3	137	3305
4	169	3215
5	197	3095
6	224	2986
7	253	2919
8	287	2907
9	319	2873
10	352	2848
11	384	2817
12	414	2776
13	444	2731
14	473	2682
15	505	2656
16	536	2617
17	568	2587
18	603	2574
19	644	2578
20	689	2593
21	729	2586
22	776	2599
23	812	2574
24	850	2550
25	891	2538
26	923	2497
27	955	2457
28	986	2414
29	1019	2379
30	1052	2343
31	1084	2305
32	1116	2266
33	1147	2227
34	1175	2183
35	1206	2144
36	1234	2102
37	1262	2059
38	1295	2026
39	1330	1996
40	1363	1962
41	1397	1930
42	1431	1897
43	1466	1866
44	1496	1829
45	1529	1795
46	1563	1763
47	1600	1734
48	1635	1702
49	1671	1671
50	1706	1640
51	1742	1608
52	1776	1575
53	1806	1539
54	1839	1505
55	1870	1469
56	1900	1433
57	1927	1396
58	1956	1359
59	1988	1325
60	2017	1289
61	2047	1254
62	2080	1221
63	2112	1188
64	2143	1154
65	2174	1120
66	2212	1089
67	2249	1058
68	2284	1026
69	2320	994
70	2350	959
71	2383	926
72	2416	893
73	2445	859
74	2477	825
75	2509	792
76	2542	759
77	2574	726
78	2607	693
79	2641	660
80	2677	627
81	2711	595
82	2749	563
83	2790	531
84	2831	499
85	2868	466
86	2904	433
87	2940	400
88	2972	367
89	3008	334
90	3042	300
91	3075	267
92	3113	234
93	3150	201
94	3183	167
95	3214	133
96	3247	100
97	3280	66
98	3316	33
99	3349	0
